11:45:09.750934 config: drop-rate=0.20, max-delay=10ms, seed=1
11:45:42.692764 failed to deliver #0, 127.0.0.1:8000 -> 0.0.0.0:1234, sz=6: write udp [::]:3000->0.0.0.0:1234: wsasendto: The requested address is not valid in its context.
11:45:43.683079 [queue=1] packet #0, 127.0.0.1:8000 -> 0.0.0.0:1234, sz=6 is delayed for 9ms
11:45:43.692754 failed to deliver #0, 127.0.0.1:8000 -> 0.0.0.0:1234, sz=6: write udp [::]:3000->0.0.0.0:1234: wsasendto: The requested address is not valid in its context.
11:45:44.684012 [queue=1] packet #0, 127.0.0.1:8000 -> 0.0.0.0:1234, sz=6 is delayed for 4.1ms
11:45:44.688185 failed to deliver #0, 127.0.0.1:8000 -> 0.0.0.0:1234, sz=6: write udp [::]:3000->0.0.0.0:1234: wsasendto: The requested address is not valid in its context.
11:45:45.683661 [queue=0] packet #0, 127.0.0.1:8000 -> 0.0.0.0:1234, sz=6 is dropped
11:45:46.683812 [queue=0] packet #0, 127.0.0.1:8000 -> 0.0.0.0:1234, sz=6 is dropped
11:45:47.683975 [queue=1] packet #0, 127.0.0.1:8000 -> 0.0.0.0:1234, sz=6 is delayed for 2.9ms
11:45:47.688015 failed to deliver #0, 127.0.0.1:8000 -> 0.0.0.0:1234, sz=6: write udp [::]:3000->0.0.0.0:1234: wsasendto: The requested address is not valid in its context.
11:45:48.684381 [queue=0] packet #0, 127.0.0.1:8000 -> 0.0.0.0:1234, sz=6 is dropped
11:45:49.685511 [queue=1] packet #0, 127.0.0.1:8000 -> 0.0.0.0:1234, sz=6 is delayed for 3.1ms
11:45:49.689649 failed to deliver #0, 127.0.0.1:8000 -> 0.0.0.0:1234, sz=6: write udp [::]:3000->0.0.0.0:1234: wsasendto: The requested address is not valid in its context.
11:46:59.451539 config: drop-rate=0.20, max-delay=10ms, seed=1
11:46:59.452064 router is listening at :3000
11:47:02.075865 [queue=1] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delayed for 8.7ms
11:47:02.085108 [queue=0] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delivered
11:47:03.071155 [queue=1] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delayed for 5.9ms
11:47:03.078481 [queue=0] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delivered
11:47:04.071365 [queue=1] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delayed for 1.8ms
11:47:04.074151 [queue=0] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delivered
11:47:05.071998 [queue=0] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is dropped
11:47:06.072707 [queue=0] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is dropped
11:47:07.073911 [queue=0] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is dropped
11:47:08.073624 [queue=1] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delayed for 9.4ms
11:47:08.083609 [queue=0] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delivered
11:48:06.670334 config: drop-rate=0.20, max-delay=10ms, seed=1
11:48:06.670836 router is listening at :3000
11:48:09.189427 [queue=1] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delayed for 8.7ms
11:48:09.199766 [queue=0] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delivered
11:48:10.188022 [queue=1] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delayed for 5.9ms
11:48:10.194955 [queue=0] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delivered
11:48:11.190882 [queue=1] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delayed for 1.8ms
11:48:11.194893 [queue=0] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delivered
11:48:12.190063 [queue=0] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is dropped
11:48:13.191065 [queue=0] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is dropped
11:48:14.191595 [queue=0] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is dropped
11:48:15.192391 [queue=1] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delayed for 9.4ms
11:48:15.202916 [queue=0] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delivered
11:48:52.164436 config: drop-rate=0.20, max-delay=10ms, seed=1
11:48:52.164937 router is listening at :3000
11:48:59.255541 [queue=1] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delayed for 8.7ms
11:48:59.265199 [queue=0] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delivered
11:49:00.251900 [queue=1] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delayed for 5.9ms
11:49:00.258352 [queue=0] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delivered
11:49:01.251361 [queue=1] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delayed for 1.8ms
11:49:01.253999 [queue=0] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delivered
11:49:02.250532 [queue=0] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is dropped
11:49:03.251107 [queue=0] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is dropped
11:49:04.250914 [queue=0] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is dropped
11:49:05.250926 [queue=1] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delayed for 9.4ms
11:49:05.261580 [queue=0] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delivered
11:49:06.251084 [queue=1] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delayed for 6.2ms
11:49:06.259355 [queue=0] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delivered
11:49:07.251251 [queue=1] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delayed for 2.8ms
11:49:07.255178 [queue=0] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delivered
11:49:08.250787 [queue=1] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delayed for 1.1ms
11:49:08.253307 [queue=0] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delivered
11:49:09.251479 [queue=1] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delayed for 3.7ms
11:49:09.256177 [queue=0] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delivered
11:49:10.251952 [queue=1] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delayed for 9.5ms
11:49:10.263368 [queue=0] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delivered
11:49:11.251512 [queue=1] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delayed for 2.8ms
11:49:11.255188 [queue=0] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delivered
11:49:12.252320 [queue=1] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delayed for 4.7ms
11:49:12.258547 [queue=0] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delivered
11:49:13.252967 [queue=1] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delayed for 8.7ms
11:49:13.262898 [queue=0] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delivered
11:49:13.266913 [queue=1] packet #1, 127.0.0.1:1234 -> 127.0.0.1:8000, sz=6 is delayed for 9ms
11:49:13.276608 [queue=0] packet #1, 127.0.0.1:1234 -> 127.0.0.1:8000, sz=6 is delivered
11:49:13.283129 [queue=1] packet #1, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delayed for 4.1ms
11:49:13.283129 [queue=1] packet #2, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=49 is dropped
11:49:13.283630 [queue=1] packet #3, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=0 is dropped
11:49:13.287243 [queue=0] packet #1, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delivered
11:49:14.280216 [queue=1] packet #1, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delayed for 2.9ms
11:49:14.280216 [queue=1] packet #2, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=49 is dropped
11:49:14.282724 [queue=2] packet #3, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=0 is delayed for 3.1ms
11:49:14.283726 [queue=1] packet #1, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delivered
11:49:14.286839 [queue=0] packet #3, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=0 is delivered
11:49:14.297762 [queue=1] packet #4, 127.0.0.1:1234 -> 127.0.0.1:8000, sz=162 is delayed for 2.6ms
11:49:14.303778 [queue=0] packet #4, 127.0.0.1:1234 -> 127.0.0.1:8000, sz=162 is delivered
11:49:54.873215 [queue=0] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is dropped
11:49:55.869473 [queue=1] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delayed for 9.4ms
11:49:55.880001 [queue=0] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delivered
11:49:55.891560 [queue=1] packet #1, 127.0.0.1:1234 -> 127.0.0.1:8000, sz=6 is delayed for 3.3ms
11:49:55.896568 [queue=0] packet #1, 127.0.0.1:1234 -> 127.0.0.1:8000, sz=6 is delivered
11:49:55.910582 [queue=1] packet #1, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delayed for 7.8ms
11:49:55.911084 [queue=2] packet #2, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=49 is delayed for 5.9ms
11:49:55.912590 [queue=3] packet #3, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=0 is delayed for 5.7ms
11:49:55.926624 [queue=0] packet #1, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delivered
11:49:55.927126 [queue=0] packet #2, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=49 is delivered
11:49:55.928129 [queue=0] packet #3, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=0 is delivered
11:49:55.933672 [queue=1] packet #4, 127.0.0.1:1234 -> 127.0.0.1:8000, sz=200 is delayed for 8.9ms
11:49:55.943169 [queue=0] packet #4, 127.0.0.1:1234 -> 127.0.0.1:8000, sz=200 is delivered
11:50:06.500657 [queue=0] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is dropped
11:50:07.495214 [queue=1] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delayed for 500µs
11:50:07.496750 [queue=0] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delivered
11:50:07.498222 [queue=1] packet #1, 127.0.0.1:1234 -> 127.0.0.1:8000, sz=6 is delayed for 3.8ms
11:50:07.503508 [queue=0] packet #1, 127.0.0.1:1234 -> 127.0.0.1:8000, sz=6 is delivered
11:50:07.526362 [queue=1] packet #1, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delayed for 5.5ms
11:50:07.526847 [queue=2] packet #2, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=49 is delayed for 1ms
11:50:07.527886 [queue=3] packet #3, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=0 is delayed for 5.6ms
11:50:07.529358 [queue=2] packet #2, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=49 is delivered
11:50:07.532362 [queue=1] packet #1, 127.0.0.1:1234 -> 127.0.0.1:8000, sz=0 is dropped
11:50:07.532863 [queue=1] packet #1, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delivered
11:50:07.535374 [queue=0] packet #3, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=0 is delivered
11:50:07.538879 [queue=1] packet #2, 127.0.0.1:1234 -> 127.0.0.1:8000, sz=0 is delayed for 6.1ms
11:50:07.558931 [queue=0] packet #2, 127.0.0.1:1234 -> 127.0.0.1:8000, sz=0 is delivered
11:50:08.516302 [queue=1] packet #2, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=49 is delayed for 8.3ms
11:50:08.521778 [queue=2] packet #3, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=0 is delayed for 6.3ms
11:50:08.525871 [queue=1] packet #2, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=49 is delivered
11:50:08.528266 [queue=0] packet #3, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=0 is delivered
11:50:08.530272 [queue=1] packet #4, 127.0.0.1:1234 -> 127.0.0.1:8000, sz=0 is delayed for 200µs
11:50:08.531278 [queue=0] packet #4, 127.0.0.1:1234 -> 127.0.0.1:8000, sz=0 is delivered
11:50:22.053618 [queue=1] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delayed for 4.7ms
11:50:22.059186 [queue=0] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delivered
11:50:22.063221 [queue=1] packet #1, 127.0.0.1:1234 -> 127.0.0.1:8000, sz=6 is delayed for 7.7ms
11:50:22.072186 [queue=0] packet #1, 127.0.0.1:1234 -> 127.0.0.1:8000, sz=6 is delivered
11:50:22.078616 [queue=1] packet #1, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delayed for 9.6ms
11:50:22.079117 [queue=2] packet #2, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=49 is delayed for 2.3ms
11:50:22.079117 [queue=3] packet #3, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=0 is delayed for 3.7ms
11:50:22.085635 [queue=1] packet #2, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=49 is delivered
11:50:22.086137 [queue=1] packet #3, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=0 is delivered
11:50:22.088664 [queue=0] packet #1, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delivered
11:50:22.089144 [queue=1] packet #1, 127.0.0.1:1234 -> 127.0.0.1:8000, sz=0 is delayed for 4.1ms
11:50:22.089646 [queue=2] packet #1, 127.0.0.1:1234 -> 127.0.0.1:8000, sz=0 is delayed for 3.3ms
11:50:22.093685 [queue=0] packet #1, 127.0.0.1:1234 -> 127.0.0.1:8000, sz=0 is delivered
11:50:22.093685 [queue=0] packet #1, 127.0.0.1:1234 -> 127.0.0.1:8000, sz=0 is delivered
11:50:23.076185 [queue=1] packet #1, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delayed for 9.1ms
11:50:23.077187 [queue=2] packet #2, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=49 is delayed for 7.8ms
11:50:23.080196 [queue=3] packet #3, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=0 is delayed for 4.6ms
11:50:23.086427 [queue=1] packet #1, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delivered
11:50:23.086427 [queue=1] packet #3, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=0 is delivered
11:50:23.088888 [queue=0] packet #2, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=49 is delivered
11:50:23.098943 [queue=1] packet #4, 127.0.0.1:1234 -> 127.0.0.1:8000, sz=200 is delayed for 4ms
11:50:23.103542 [queue=0] packet #4, 127.0.0.1:1234 -> 127.0.0.1:8000, sz=200 is delivered
11:51:00.247427 [queue=1] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delayed for 5.2ms
11:51:00.253445 [queue=0] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delivered
11:51:00.258469 [queue=0] packet #1, 127.0.0.1:1234 -> 127.0.0.1:8000, sz=6 is dropped
11:51:01.241182 [queue=1] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delayed for 9.8ms
11:51:01.251762 [queue=0] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delivered
11:51:01.254265 [queue=1] packet #1, 127.0.0.1:1234 -> 127.0.0.1:8000, sz=6 is delayed for 5.1ms
11:51:01.260127 [queue=0] packet #1, 127.0.0.1:1234 -> 127.0.0.1:8000, sz=6 is delivered
11:51:01.288095 [queue=1] packet #1, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delayed for 5.7ms
11:51:01.289598 [queue=2] packet #2, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=49 is delayed for 1ms
11:51:01.292606 [queue=2] packet #3, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=0 is dropped
11:51:01.295113 [queue=1] packet #2, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=49 is delivered
11:51:01.297119 [queue=0] packet #1, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delivered
11:51:01.302137 [queue=1] packet #1, 127.0.0.1:1234 -> 127.0.0.1:8000, sz=0 is delayed for 9ms
11:51:01.311184 [queue=0] packet #1, 127.0.0.1:1234 -> 127.0.0.1:8000, sz=0 is delivered
11:51:02.266254 [queue=1] packet #1, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delayed for 9.8ms
11:51:02.271434 [queue=2] packet #2, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=49 is delayed for 9.1ms
11:51:02.277998 [queue=1] packet #1, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delivered
11:51:02.278499 [queue=1] packet #3, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=0 is dropped
11:51:02.282049 [queue=0] packet #2, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=49 is delivered
11:51:02.285544 [queue=0] packet #3, 127.0.0.1:1234 -> 127.0.0.1:8000, sz=0 is dropped
11:51:03.266865 [queue=1] packet #1, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delayed for 6.7ms
11:51:03.272060 [queue=2] packet #2, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=49 is delayed for 7.1ms
11:51:03.274710 [queue=1] packet #1, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delivered
11:51:03.279727 [queue=2] packet #3, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=0 is delayed for 2.6ms
11:51:03.280233 [queue=1] packet #2, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=49 is delivered
11:51:03.282235 [queue=2] packet #4, 127.0.0.1:1234 -> 127.0.0.1:8000, sz=0 is delayed for 8.1ms
11:51:03.285242 [queue=1] packet #3, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=0 is delivered
11:51:03.287748 [queue=2] packet #4, 127.0.0.1:1234 -> 127.0.0.1:8000, sz=0 is delayed for 6.6ms
11:51:03.292260 [queue=1] packet #4, 127.0.0.1:1234 -> 127.0.0.1:8000, sz=0 is delivered
11:51:03.297274 [queue=0] packet #4, 127.0.0.1:1234 -> 127.0.0.1:8000, sz=0 is delivered
11:51:34.538622 [queue=1] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delayed for 9.3ms
11:51:34.549175 [queue=0] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delivered
11:51:34.553113 [queue=0] packet #1, 127.0.0.1:1234 -> 127.0.0.1:8000, sz=6 is dropped
11:51:35.533181 [queue=1] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delayed for 8.1ms
11:51:35.542237 [queue=0] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delivered
11:51:35.544713 [queue=1] packet #1, 127.0.0.1:1234 -> 127.0.0.1:8000, sz=6 is delayed for 7.5ms
11:51:35.553685 [queue=0] packet #1, 127.0.0.1:1234 -> 127.0.0.1:8000, sz=6 is delivered
11:51:35.584047 [queue=1] packet #1, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delayed for 1ms
11:51:35.585050 [queue=2] packet #2, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=49 is delayed for 4.9ms
11:51:35.587556 [queue=1] packet #1, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delivered
11:51:35.587556 [queue=2] packet #3, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=0 is delayed for 1.8ms
11:51:35.590089 [queue=1] packet #3, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=0 is delivered
11:51:35.592570 [queue=0] packet #2, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=49 is delivered
11:51:35.608613 [queue=1] packet #2, 127.0.0.1:1234 -> 127.0.0.1:8000, sz=0 is delayed for 300µs
11:51:35.610617 [queue=0] packet #2, 127.0.0.1:1234 -> 127.0.0.1:8000, sz=0 is delivered
11:51:36.565044 [queue=1] packet #2, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=49 is delayed for 4.7ms
11:51:36.570354 [queue=0] packet #2, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=49 is delivered
11:51:36.572341 [queue=1] packet #4, 127.0.0.1:1234 -> 127.0.0.1:8000, sz=0 is delayed for 3.2ms
11:51:36.576335 [queue=0] packet #4, 127.0.0.1:1234 -> 127.0.0.1:8000, sz=0 is delivered
11:52:11.097242 config: drop-rate=0.20, max-delay=10ms, seed=1
11:52:11.098747 router is listening at :3000
11:59:31.912094 [queue=1] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delayed for 8.7ms
11:59:47.659893 [queue=2] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delayed for 5.9ms
11:59:47.660897 [queue=3] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delayed for 1.8ms
11:59:47.660897 [queue=3] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is dropped
11:59:47.660897 [queue=3] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is dropped
11:59:47.660897 [queue=3] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is dropped
11:59:47.661399 [queue=4] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delayed for 9.4ms
11:59:47.661399 [queue=5] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delayed for 6.2ms
11:59:47.661399 [queue=6] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delayed for 2.8ms
11:59:47.661399 [queue=7] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delayed for 1.1ms
11:59:47.661399 [queue=8] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delayed for 3.7ms
11:59:47.663790 [queue=6] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delivered
11:59:47.663790 [queue=6] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delivered
11:59:47.664791 [queue=5] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delivered
11:59:47.665794 [queue=4] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delivered
11:59:47.670806 [queue=0] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delivered
11:59:47.672811 [queue=1] packet #1, 127.0.0.1:1234 -> 127.0.0.1:8000, sz=6 is delayed for 9.5ms
11:59:47.673312 [queue=1] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delivered
11:59:47.673312 [queue=1] packet #0, 127.0.0.1:8000 -> 127.0.0.1:1234, sz=6 is delivered
